country,year,configured_components,candidate_components,scope_coverage_ratio,h_negative_obs,neg_in_ab_share,neg_in_cd_share,sr_energy,far_energy,scope_status,scope_reason,priority_case
DE,2025,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2026,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2027,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2028,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2029,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2030,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2031,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2032,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2033,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2034,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
DE,2035,"lignite,hydro_ror,biomass",,,0.0,,,0.0,,NON_TESTABLE,no_inflexible_candidates,False
ES,2025,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2026,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2027,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2028,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2029,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2030,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2031,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2032,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2033,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2034,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
ES,2035,"nuclear,hydro_ror,biomass",nuclear,1.0,0.0,,,0.0,,OK,scope_coverage_sufficient,False
