country,tech,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
DE,PV,BASE,slope,-0.0227295312330323,-8.665691831324744e-05,0.0226428743147191,,INFORMATIVE,delta_interpretable
DE,WIND,BASE,slope,0.0058187634834266,-2.265788457218344e-05,-0.0058414213679988,,INFORMATIVE,delta_interpretable
ES,PV,BASE,slope,-57.10624881834757,-0.0002753139503283,57.10597350439724,,INFORMATIVE,delta_interpretable
ES,WIND,BASE,slope,-35.407485698391774,-0.0001543374336055,35.40733136095817,,INFORMATIVE,delta_interpretable
DE,PV,HIGH_CO2,slope,-0.0227295312330323,-9.568450944628195e-05,0.022633846723586,,INFORMATIVE,delta_interpretable
DE,WIND,HIGH_CO2,slope,0.0058187634834266,-2.5073620990995542e-05,-0.0058438371044176,,INFORMATIVE,delta_interpretable
ES,PV,HIGH_CO2,slope,-57.10624881834757,-0.0002695385894175,57.10597927975815,,INFORMATIVE,delta_interpretable
ES,WIND,HIGH_CO2,slope,-35.407485698391774,-0.0001530676914102,35.40733263070037,,INFORMATIVE,delta_interpretable
DE,PV,HIGH_GAS,slope,-0.0227295312330323,-8.72201657599587e-05,0.0226423110672723,,INFORMATIVE,delta_interpretable
DE,WIND,HIGH_GAS,slope,0.0058187634834266,-2.290540151785537e-05,-0.0058416688849445,,INFORMATIVE,delta_interpretable
ES,PV,HIGH_GAS,slope,-57.10624881834757,-0.0002584908965111,57.10599032745105,,INFORMATIVE,delta_interpretable
ES,WIND,HIGH_GAS,slope,-35.407485698391774,-0.0001469722723014,35.40733872611947,,INFORMATIVE,delta_interpretable
